filename,chromagram,key,coded_key
3873733.LOFI,[0.05148109 0.03052356 0.02557517 ... 0.11390726 0.02560221 0.03070957],Eb minor,17
2725289.LOFI,[1.0448984  0.37796974 1.7419586  ... 0.06491899 0.33211008 0.06380254],E minor,14
3986537.LOFI,"[13.572677    8.124663    4.20734    ...  0.5168213   0.26917168
  0.2541155 ]",Gb minor,23
2075331.LOFI,"[5.2932829e-01 9.8958082e-02 2.0754559e+00 ... 2.0464251e-03 6.1376882e-04
 1.4685403e-01]",G minor,21
3935095.LOFI,[0.02708323 0.01894523 0.0273517  ... 0.06915939 0.12628742 0.10506588],E minor,14
4284574.LOFI,[1.5919428  0.2385064  0.26041818 ... 0.15057161 0.30313823 0.31260902],G major,20
4920936.LOFI,[2.4689572  2.0705652  2.6838312  ... 0.09224739 0.02213885 0.00949385],Db minor,13
3542099.LOFI,"[1.3316965e+00 3.8393539e-01 2.5478153e+00 ... 3.7279832e-01 5.7458017e-02
 1.8630998e-03]",F minor,18
2081732.LOFI,"[1.0331730e+01 6.0925088e+00 1.0194502e+00 ... 7.4115796e-03 2.2471203e-02
 1.4989740e-01]",E minor,14
2741219.LOFI,[3.5528696  0.96377367 0.5540866  ... 0.06137326 0.0056836  0.66300046],A minor,1
4048367.LOFI,[0.3393705  6.676914   5.9305944  ... 0.24701905 0.09425752 0.01625147],B minor,5
4327665.LOFI,[0.11561769 0.3026968  0.14290674 ... 0.21998696 0.10196356 0.08036886],E minor,14
3319589.LOFI,[0.7403382  0.22316512 0.27991843 ... 0.38050562 0.15474649 0.19130631],Gb minor,23
3706570.LOFI,[0.35882786 0.12669602 0.6705559  ... 0.01077689 0.00357724 0.16706964],Eb minor,17
2680040.LOFI,[2.1731021  7.108153   0.9341576  ... 0.06352108 0.27013856 0.05937808],A minor,1
511348.LOFI,[9.26943    2.982013   1.6616784  ... 0.10547785 0.0151574  0.41641048],E minor,14
3568465.LOFI,[0.29307497 2.6257899  0.82577974 ... 0.10143648 0.25015974 0.3264138 ],A minor,1
1574723.LOFI,"[11.515951    3.8131309   9.263029   ...  0.07921251  0.05352363
  0.04195864]",D minor,11
4364668.LOFI,[1.8869541  6.1153994  4.330782   ... 0.16167057 0.03487355 0.24332264],Ab minor,3
4802314.LOFI,[0.02794328 0.09158239 0.11474239 ... 0.08151232 0.01839903 0.00848441],E minor,14
4873286.LOFI,"[12.6835375   2.0794232   6.551446   ...  0.21565592  0.51144195
  0.23635542]",Gb major,22
4002242.LOFI,"[2.3710148e+01 7.6453004e+00 5.8878918e+00 ... 1.7165439e-02 3.5528955e-01
 7.6090343e-02]",A minor,1
3963180.LOFI,"[7.0778942e-01 3.9855464e+00 9.8070612e+00 ... 2.9849587e-03 8.4436968e-02
 2.8299974e-02]",Gb minor,23
5039016.LOFI,[0.51362586 0.71159405 0.7932914  ... 0.15941226 0.3564224  0.18443944],G minor,21
903963.LOFI,"[1.0713141e+01 1.3802180e+01 1.0101143e+00 ... 2.3431538e-03 8.5700909e-04
 1.9968043e-03]",F major,19
4452003.LOFI,[0.97027963 4.4047346  2.138253   ... 0.01356462 0.04521993 0.24426065],Gb minor,23
5171396.LOFI,[2.9985485  1.4157699  1.175999   ... 0.26769945 0.14136001 0.04698693],Ab major,2
678406.LOFI,[3.4371881  4.095748   4.074161   ... 0.08122231 0.21288016 0.06953872],E minor,14
3479363.LOFI,[3.183017   1.7853006  1.4458015  ... 0.05891685 0.22878979 0.01078712],Eb minor,17
3687442.LOFI,[4.4078603  2.3080466  0.9206092  ... 0.0157002  0.18966186 0.19391493],Ab minor,3
2725286.LOFI,[1.3363227  2.5531213  1.4543377  ... 0.12739044 0.23624799 0.30528763],G minor,21
3345479.LOFI,[1.5321785  6.6357517  4.9624095  ... 0.2259866  0.17862815 0.07050757],D minor,11
2046342.LOFI,[0.00972953 0.01356163 0.02329574 ... 0.10723723 0.05452809 0.01785626],E minor,14
1034795.LOFI,"[8.7965031e+00 1.4774493e+01 4.4156971e+00 ... 1.2776011e-02 1.3478740e-01
 3.5697341e-02]",B minor,5
5103693.LOFI,[2.038326   6.1365385  1.3809124  ... 0.5517253  0.64677435 0.04846441],F major,19
3833050.LOFI,[6.459383   2.311218   0.72110265 ... 0.01122609 0.01911766 0.09300751],Db major,12
4207145.LOFI,[5.0391326  2.9732046  0.3567714  ... 0.00539661 0.05630831 0.07397982],Eb minor,17
781373.LOFI,[0.3840354  4.061356   3.540889   ... 0.04819781 0.11463558 0.07989504],E major,15
1856889.LOFI,[1.6185005  4.533905   6.677467   ... 0.17097384 0.02273748 0.00974264],Gb minor,23
682724.LOFI,[7.177579   2.5283387  0.69438    ... 0.09614445 0.11007923 0.43086815],C major,8
2673157.LOFI,[3.167466   0.622276   7.075304   ... 0.00831985 0.0189643  0.1241163 ],B minor,5
4945105.LOFI,[4.441465   1.3957076  9.953184   ... 0.45061618 0.8869681  0.03113665],F minor,18
3980001.LOFI,[0.1698953  1.4302775  0.5504367  ... 0.01107175 0.03645054 0.04683452],D minor,11
1209745.LOFI,[4.309728   8.133407   0.40605792 ... 0.06985844 0.07949448 0.13424425],Bb major,6
3681890.LOFI,[0.15590924 0.05592754 0.13410333 ... 0.2724125  0.34026104 0.20706956],C major,8
1681074.LOFI,"[5.5223045e+00 3.4609671e+00 4.2227454e+00 ... 7.2382629e-04 2.5475139e-03
 6.4020194e-02]",F minor,18
3516363.LOFI,[2.753247   0.9215182  4.076035   ... 0.61328065 0.01087957 0.04670209],G minor,21
2048054.LOFI,[9.441423   2.613484   2.9043448  ... 0.83417314 0.03011835 0.06469133],C minor,9
3478184.LOFI,[2.0597184  3.7662838  7.5041437  ... 0.0172237  0.22507232 0.0131129 ],Eb minor,17
3535112.LOFI,[0.11929557 0.16821024 0.517984   ... 0.08466547 0.00989326 0.40626064],Bb minor,7
1922470.LOFI,[1.2708523  1.5373617  5.869295   ... 0.03124464 0.01034567 0.05377157],Eb minor,17
341832.LOFI,[9.264524   3.4128358  1.584192   ... 0.13430949 0.3134539  0.37655082],G major,20
3005030.LOFI,[1.4738716  0.08819377 0.55296576 ... 0.0793013  0.79135746 0.14203511],E minor,14
3095708.LOFI,"[10.560617    9.596283    4.6561337  ...  0.07994319  0.35460132
  1.0326844 ]",G minor,21
1056896.LOFI,[4.211552   6.0520167  0.47646552 ... 0.08225542 0.15393919 0.23421952],A minor,1
101069.LOFI,[5.3181224  2.627744   4.183243   ... 0.2446444  0.12057032 0.13873966],E minor,14
839886.LOFI,[0.84167016 0.37397334 6.512576   ... 0.2478829  0.30882373 0.11683883],D minor,11
2676506.LOFI,[0.00649818 0.00177829 0.00094113 ... 0.09584816 0.03883391 0.13511795],C minor,9
3518921.LOFI,[0.5434946  3.4184866  3.4634902  ... 0.05365332 0.03585136 0.2523645 ],B minor,5
1474122.LOFI,[0.34213877 0.06567036 0.1361503  ... 0.00390314 0.02207712 0.02793133],Ab major,2
4997222.LOFI,[4.1187024  0.9042192  1.154682   ... 0.08836683 0.21755224 0.42847922],Db minor,13
1695408.LOFI,[4.3269587  4.1084614  8.7257805  ... 0.01025085 0.02031367 0.1414935 ],A minor,1
1678455.LOFI,"[2.4570374e-01 8.0985212e+00 1.0769833e+01 ... 8.2097307e-02 4.5173150e-03
 1.1363781e-01]",Gb minor,23
4066359.LOFI,[4.4347005  2.0034747  4.112092   ... 0.5536698  0.11481826 0.19841066],Eb major,16
3524408.LOFI,[0.03799501 0.01641954 0.01400349 ... 0.52133584 0.11191362 0.06232709],Gb minor,23
3334441.LOFI,[6.2834306  7.353714   1.0181047  ... 0.13014309 0.18832889 0.6771472 ],G minor,21
3302298.LOFI,[0.8353346  1.8774648  6.0225987  ... 0.039199   0.07390948 0.04400402],C minor,9
4877006.LOFI,[1.0995947  0.829132   0.7650153  ... 0.39060628 0.05537086 0.07016243],F minor,18
3572701.LOFI,[0.31322882 6.2653995  3.4997752  ... 0.01289017 0.01622925 0.00823576],F minor,18
4361260.LOFI,[0.02018779 0.00801799 0.00320226 ... 0.10028507 0.04325579 0.03446326],C minor,9
3533310.LOFI,[1.1852446  0.7003108  0.63993406 ... 0.00655944 0.0063187  0.04641968],B major,4
1486770.LOFI,"[2.6415749e+00 4.6062133e-01 5.2928095e+00 ... 2.6981097e-03 8.1470475e-02
 5.8238801e-02]",A minor,1
3958396.LOFI,[2.5124772  3.2933953  2.0024297  ... 0.01628271 0.01846368 0.08328717],A major,0
3349967.LOFI,[5.8328214  5.506425   2.7016375  ... 0.10238511 0.88587326 0.06094414],Eb minor,17
4206954.LOFI,"[5.2187095e+00 8.9975853e+00 8.4335184e+00 ... 9.5678821e-02 8.0916025e-03
 1.4164935e-01]",D minor,11
3979989.LOFI,[2.668393   6.7359157  5.773702   ... 0.09647834 0.4277303  0.14470816],Eb minor,17
4359736.LOFI,[0.6942497  8.556644   1.2299865  ... 0.1042999  0.17775372 0.49414814],F minor,18
3133794.LOFI,"[ 0.3199998  11.587377    5.98264    ...  0.27379876  0.30146196
  0.30987585]",Ab minor,3
3740062.LOFI,[3.0032892  0.46719298 0.0371298  ... 0.2143965  0.31757265 0.13164261],F minor,18
2014445.LOFI,"[ 0.8662802   0.11979741 10.216153   ...  0.01895185  0.01196286
  0.01264757]",Eb minor,17
3480108.LOFI,[6.4189386  3.312956   1.4335448  ... 0.08211163 0.11465462 0.30430004],Gb minor,23
5009084.LOFI,[8.9093275  2.6358619  7.7590394  ... 0.17365743 0.24699526 1.1483256 ],Bb minor,7
5740146.LOFI,[1.4334607  4.720442   7.3869896  ... 0.10228264 0.16887589 0.18721479],Eb minor,17
1389887.LOFI,[0.04935402 0.23366392 0.08556423 ... 0.01052108 0.01772407 0.09380818],Ab minor,3
3270413.LOFI,[0.65005296 0.57137376 0.47389805 ... 0.08793079 0.25370392 0.02605282],A minor,1
945256.LOFI,[0.07910972 3.591686   0.81304574 ... 0.09057677 0.14528328 0.02926342],Eb minor,17
2006103.LOFI,[1.2304373  0.4397939  7.3437586  ... 0.47299698 0.01670035 0.6809809 ],Db minor,13
1795653.LOFI,[1.1365085  4.401335   6.4932265  ... 0.03165469 0.01070608 0.15933411],Eb minor,17
3434746.LOFI,[1.4821806  0.98605525 0.46849912 ... 0.49146602 0.5664172  1.1164969 ],A minor,1
4834156.LOFI,"[12.428661    5.795543    3.5252442  ...  0.19797184  0.27931666
  0.09198566]",D minor,11
1356281.LOFI,[0.0227833  0.42213118 0.15872306 ... 0.06879488 0.05719124 0.09865767],Eb major,16
1353830.LOFI,[2.342668   0.4862467  0.5748091  ... 0.05572805 0.07731462 0.11459714],D minor,11
3250632.LOFI,[0.65535575 1.6373769  7.5371     ... 0.09166251 0.01808803 0.0704532 ],F minor,18
4981541.LOFI,"[ 4.5814323  10.714921    5.596629   ...  0.03773393  0.03385121
  0.09650518]",Bb minor,7
3533740.LOFI,"[1.74300635e+00 1.40937817e+00 2.40601635e+00 ... 1.13128625e-01
 1.04049291e-03 8.88534635e-03]",B minor,5
3415421.LOFI,[0.16521937 0.12235031 0.0798299  ... 0.39964846 0.49811006 0.04604088],E minor,14
3317232.LOFI,"[10.688168    2.4533656   4.177567   ...  0.30193222  0.13542739
  0.37087184]",C minor,9
4969568.LOFI,"[ 6.449928   11.713934   15.71555    ...  0.39983794  0.59879696
  0.294614  ]",B minor,5
1074548.LOFI,[0.00311451 0.05106987 0.2201001  ... 0.16636653 0.13747737 1.4793568 ],A minor,1
781995.LOFI,[1.0661882  5.229806   7.2584968  ... 0.00886193 0.0221288  0.08235643],C major,8
774875.LOFI,[0.774458   6.181471   4.364006   ... 0.01581316 0.02125181 0.10579311],Gb minor,23
5085261.LOFI,[5.259736   2.7427783  1.3744441  ... 0.05140898 0.1324382  0.04907914],A major,0
2052966.LOFI,[4.977799   8.206248   8.185999   ... 0.00950498 0.06312436 0.07934624],Bb minor,7
671546.LOFI,[0.4396431  3.1799223  6.0865803  ... 0.20886308 0.02470176 0.3936199 ],A minor,1
4950614.LOFI,[1.3514154  1.9085119  3.904279   ... 0.01715138 0.72835    0.21139976],E minor,14
3967462.LOFI,[0.01028149 0.01876291 0.0046312  ... 0.00055948 0.00049157 0.00711399],E minor,14
3313145.LOFI,[0.66515374 1.4118581  0.10204232 ... 0.2694785  0.6290195  0.50628287],E major,15
2018991.LOFI,[0.0848557  1.6576254  2.975538   ... 0.06753227 0.10345332 0.1445725 ],C minor,9
4666231.LOFI,[5.833132   1.7670112  0.5554453  ... 0.08713099 0.33929744 0.10626886],F minor,18
1808022.LOFI,"[5.8067188e+00 1.3117247e+00 4.7137289e+00 ... 7.1045473e-02 5.3398614e-03
 9.7934566e-02]",Bb minor,7
4453556.LOFI,[0.02713014 0.07606732 0.0971634  ... 0.03756201 0.13822882 0.18402785],G minor,21
1193612.LOFI,"[2.4392786e+00 3.5341661e+00 7.3026452e+00 ... 8.2818558e-03 7.2829272e-03
 8.6612999e-03]",Gb minor,23
3574815.LOFI,[0.24258828 4.7918725  7.2063956  ... 0.09455252 0.23342346 0.12510428],A minor,1
3450181.LOFI,"[20.573412    8.777937   11.320844   ...  0.16888414  0.12151503
  0.05924912]",C minor,9
3334471.LOFI,[0.16556853 0.01606219 0.12322889 ... 0.15971568 0.09465747 0.33226177],Gb minor,23
5048263.LOFI,[0.02870842 0.3797285  2.4660773  ... 0.06957515 0.16824381 0.10776021],G minor,21
3033991.LOFI,"[7.4171371e+00 5.6394830e+00 1.1063377e+01 ... 8.9877041e-04 1.0150434e-03
 4.2991186e-03]",C minor,9
2436276.LOFI,[1.1339816  0.72051084 0.83945376 ... 0.04203283 0.15469824 0.04023183],A minor,1
2673251.LOFI,[0.0821235  2.3215437  2.70061    ... 0.00849773 0.01947388 0.06159725],Eb minor,17
4483817.LOFI,[0.9292277  1.9241706  1.7763329  ... 0.14244416 0.33092305 0.0063215 ],Ab minor,3
4846007.LOFI,[0.00337495 0.01360918 1.2680241  ... 0.01434388 0.01971439 0.02343923],Ab minor,3
3313070.LOFI,[0.09282094 0.67991567 0.98498625 ... 0.01271988 0.02853674 0.04353634],B minor,5
1939732.LOFI,[2.040558   0.7802413  0.1276782  ... 0.00597574 0.00298548 0.7238303 ],Eb minor,17
4900482.LOFI,[0.12060926 0.16968004 0.07417849 ... 0.06708034 1.1109265  0.06519689],Gb minor,23
1986370.LOFI,[0.60379636 0.38166985 0.43942288 ... 0.28030926 0.05284755 0.02346769],Eb minor,17
423054.LOFI,[1.7065939  1.2842822  0.7691461  ... 0.22924943 0.08295082 0.43938333],D minor,11
3275147.LOFI,[9.858905   0.46012568 1.6452816  ... 0.07859827 0.06975248 0.04688486],F minor,18
1984204.LOFI,[5.7141633  6.873719   0.42094973 ... 0.05059677 0.18982048 0.10558654],F minor,18
3523229.LOFI,[0.02561549 0.01691905 0.00696143 ... 0.02757995 0.15425634 0.13713896],A minor,1
3648814.LOFI,"[1.4164159e+00 2.0375297e+00 8.0242825e+00 ... 5.5600874e-02 2.7503872e-01
 2.4835677e-03]",B minor,5
4957129.LOFI,[0.04756455 0.06854766 0.02936222 ... 0.06648414 0.07457503 0.01666731],D minor,11
3428673.LOFI,"[3.1520581e+00 1.2100359e+00 1.4939546e+01 ... 2.5495918e-02 2.3644082e-01
 2.2377695e-04]",C minor,9
4440292.LOFI,[0.52566487 0.46739018 5.592213   ... 0.33001673 0.1541389  0.08108874],Ab minor,3
5036476.LOFI,[0.6848537  0.21680689 0.41567343 ... 0.0930445  0.06334553 0.07072067],Gb minor,23
1164898.LOFI,"[13.295285    2.5072646   0.60672724 ...  0.1788743   0.06086003
  0.2838731 ]",C major,8
1652412.LOFI,[1.6834165  0.61895883 1.7531173  ... 0.04337106 0.02149157 0.02965461],D minor,11
4927725.LOFI,[0.0876803  0.00757084 0.02567708 ... 0.11368514 0.10208877 0.13561727],Eb minor,17
4485436.LOFI,"[6.1730116e-06 1.5287007e-04 2.2114002e-05 ... 7.8309441e-01 8.3439696e-01
 1.0770233e+00]",F minor,18
3356535.LOFI,[3.6648743  6.5547466  1.2327993  ... 0.05637858 0.0660434  0.0577793 ],F minor,18
3069201.LOFI,[0.11902776 3.7476618  3.743142   ... 0.20438588 0.10687886 0.0331121 ],C major,8
4325646.LOFI,[1.7928818  3.8274655  0.85394573 ... 0.01634083 0.11522569 0.53796184],Gb minor,23
890568.LOFI,[0.20173411 4.7574773  2.9751177  ... 0.19672732 0.210295   0.04870118],E minor,14
4424988.LOFI,[6.1359377  3.328048   0.3046497  ... 0.02671326 0.054389   0.11828932],Ab minor,3
2031094.LOFI,[0.05053229 0.05353363 0.00876258 ... 0.00702498 0.01046377 0.02965636],A minor,1
3415063.LOFI,[0.45207974 9.712159   3.6162434  ... 0.06220274 0.18028535 0.12253959],G minor,21
3150078.LOFI,[0.7268777  2.5622797  4.1463366  ... 0.07036813 0.04381096 0.39530987],D major,10
1234749.LOFI,[0.3012744  0.09856426 0.18001387 ... 0.3098208  0.15958047 0.35434625],Bb major,6
3228698.LOFI,[0.70873123 3.5198517  2.929375   ... 0.04061319 0.15032117 0.06352565],E minor,14
1763782.LOFI,[0.6755073  7.3727975  2.756436   ... 0.11662084 0.28726798 0.04334813],Gb minor,23
3602280.LOFI,"[ 0.928791    0.7350234  11.304846   ...  0.08099553  0.02286231
  0.14257805]",G minor,21
814505.LOFI,[0.23331195 0.10092315 0.18020974 ... 0.16364962 0.11477357 0.05961986],A major,0
4983728.LOFI,"[2.5171575e-01 6.8646445e+00 3.7905307e+00 ... 6.4272508e-02 4.2040488e-03
 9.3190363e-03]",G minor,21
1796518.LOFI,[2.1277514  4.0298686  8.546494   ... 0.077685   0.08555765 0.0275001 ],Db minor,13
1803909.LOFI,[3.367323   5.238001   5.0937157  ... 0.02936009 0.02221275 0.23856454],B minor,5
3482733.LOFI,[1.9355125  0.9038946  1.9197925  ... 0.09918388 0.13593295 0.1494286 ],G minor,21
4018247.LOFI,[4.1905417  1.2305784  0.30252677 ... 0.03192373 0.00847539 0.0431418 ],G minor,21
2666528.LOFI,"[4.1924238e+00 4.7233863e+00 5.4417238e+00 ... 1.8625298e-01 1.7191120e-03
 1.0155990e-01]",Db minor,13
4162405.LOFI,[0.21247181 1.4684409  6.1728373  ... 0.4727294  0.54004055 0.4492219 ],A minor,1
3178155.LOFI,[6.3641706  2.7130675  0.76892954 ... 0.24927646 0.02799326 0.53427845],A minor,1
3858331.LOFI,[0.05684202 0.01289587 0.01116983 ... 0.05285073 0.05763837 0.00440275],C minor,9
4173942.LOFI,"[ 1.0649922  16.685135   13.664019   ...  0.02948934  0.25233325
  0.25998217]",C major,8
3949799.LOFI,"[10.59979     2.781003    2.163262   ...  0.14790617  0.08009243
  0.0409889 ]",A major,0
3093661.LOFI,[0.07536204 0.5799738  0.16027254 ... 0.33193904 0.06870095 0.19295244],G minor,21
5079918.LOFI,[0.41874978 0.23389676 0.27189702 ... 0.04487076 0.21420915 0.01299886],Ab minor,3
1837440.LOFI,[7.383943   5.2253523  2.2551951  ... 0.05282996 0.06493302 0.0968896 ],B minor,5
3836490.LOFI,[0.6282072  1.0829822  4.3419256  ... 0.0092085  0.04025948 0.01373331],F minor,18
190477.LOFI,[9.310918   3.12535    1.8411078  ... 0.042901   0.08399698 0.2689849 ],D minor,11
4981539.LOFI,[9.333459   8.15535    1.4592994  ... 0.05559144 0.05395755 0.03448672],Gb minor,23
3070298.LOFI,[0.21826221 1.1386492  4.3431907  ... 0.18224916 0.09465344 0.24723956],D minor,11
2996293.LOFI,"[ 0.12138102  6.4872994  11.945519   ...  0.11542134  0.07120472
  1.113249  ]",D major,10
1814469.LOFI,[3.186447   0.65958536 4.752074   ... 0.07208793 0.01572411 0.02510409],F minor,18
4926785.LOFI,[6.46372    5.5645075  1.4215109  ... 0.03686321 0.1024299  0.1188006 ],G minor,21
2025670.LOFI,"[6.3545504e+00 6.0768330e-01 9.1411409e+00 ... 1.7071128e-02 5.4717469e-03
 9.3444651e-03]",C minor,9
4615188.LOFI,[3.4887204  3.3214695  3.3898928  ... 0.1001058  0.03136986 0.07239108],Ab minor,3
1442809.LOFI,[0.00577255 0.00375924 0.01054944 ... 0.0386592  0.03628758 0.02115216],Db minor,13
3995054.LOFI,[0.22427173 0.6067649  0.6821219  ... 0.02541494 0.05393018 0.07721548],C major,8
5013063.LOFI,[1.5709428  0.07242142 0.5851597  ... 0.33305222 0.16186723 0.7548421 ],E minor,14
4566667.LOFI,[0.12498865 0.15705246 0.32315472 ... 0.16137247 0.21714146 0.13597903],Gb minor,23
5308082.LOFI,[8.606406   1.5630007  0.8065562  ... 0.02391519 0.14178266 0.01192994],Db minor,13
4898445.LOFI,[2.7986698  0.57505107 4.340106   ... 0.13171013 0.47949547 0.0157293 ],Ab minor,3
435443.LOFI,[0.21065888 0.1868369  0.22283237 ... 0.0447733  0.09984304 0.43514472],E minor,14
3625299.LOFI,[0.30894545 0.55514157 0.25619218 ... 0.08184181 0.36804876 0.14853165],G minor,21
3361547.LOFI,[1.0948548  2.899243   1.821189   ... 0.15781955 1.0561823  0.19730413],G minor,21
376240.LOFI,[2.6022341  6.2930303  4.0159707  ... 0.03121911 0.10188429 0.24968629],F minor,18
4366506.LOFI,[2.3631809  2.4359055  3.0427256  ... 0.02457809 0.02233159 0.01457811],Eb minor,17
4935536.LOFI,[0.67426896 0.27857384 0.5431328  ... 0.25925127 0.61335826 0.13229617],F minor,18
3914630.LOFI,[3.9629176  5.691905   1.0338522  ... 0.01802237 0.00757389 0.11118594],Gb major,22
1092676.LOFI,[1.9175934  1.657953   0.62333155 ... 1.1025168  0.60238636 0.36130372],F minor,18
4857650.LOFI,[0.64405656 0.50182664 0.6035365  ... 0.22037715 0.6692869  0.00701277],Bb minor,7
4992190.LOFI,[7.0194154  3.6545117  8.219421   ... 2.909932   0.44896302 0.15125133],Db minor,13
3533956.LOFI,"[8.8174343e+00 3.5259199e+00 9.7655115e+00 ... 9.2489254e-03 6.1653987e-02
 4.2065028e-02]",G minor,21
4125044.LOFI,[8.782005   2.4034007  0.02625676 ... 0.90036964 0.09886073 0.14353776],F minor,18
1776378.LOFI,[0.01619798 0.0355984  0.23854259 ... 0.13226175 0.10297491 0.16326119],Ab minor,3
3971416.LOFI,[1.3763059  4.24099    4.8930545  ... 0.1345493  0.03339145 0.03327426],D minor,11
3589347.LOFI,[0.2688572  5.098445   5.853217   ... 0.05623186 0.05146076 0.10916815],C minor,9
796860.LOFI,[0.9905638  1.832464   1.6276884  ... 0.01370239 0.01211311 0.03874647],Ab minor,3
4917941.LOFI,[0.04051783 0.2556679  0.11467304 ... 0.01681566 0.00150056 0.15801254],F minor,18
3638836.LOFI,"[1.4576215e-01 2.3972567e-02 2.0110185e+00 ... 2.0096290e-03 2.0891789e-03
 1.0994688e-01]",F major,19
3324024.LOFI,[0.12335552 3.2293162  6.819965   ... 0.05672762 0.21404448 0.01600182],Ab minor,3
398124.LOFI,"[2.34615078e+01 1.26084032e+01 1.10282726e+01 ... 1.75660565e-01
 1.94001850e-02 1.53461825e-02]",D major,10
4186982.LOFI,"[1.4851882e+01 1.8327370e+00 3.4043720e+00 ... 9.5305895e-04 5.8950610e-02
 1.4215009e-01]",G minor,21
896478.LOFI,[0.00226569 0.10865749 1.3914429  ... 0.07648261 0.15967344 0.12773158],B minor,5
2069519.LOFI,[1.6391333  0.3782559  0.39159572 ... 0.5295033  0.0904858  0.01706676],F minor,18
3701975.LOFI,[0.07607865 0.0355688  0.01276909 ... 0.40088496 0.59775245 0.19311406],F major,19
5030517.LOFI,[0.20644191 0.12661788 0.03958518 ... 0.02605086 0.51880664 0.36709186],Gb minor,23
4927724.LOFI,[0.7829335  0.82903594 4.8300004  ... 0.00749126 0.00731553 0.09203723],Ab major,2
1626779.LOFI,"[1.0042332e+00 4.4899807e+00 6.8908925e+00 ... 4.5951405e-03 1.7526651e-02
 2.0782830e-01]",Bb minor,7
4104235.LOFI,[2.6410408  0.9545205  7.341065   ... 0.14724685 0.7420365  0.9601847 ],F minor,18
4573655.LOFI,[3.3243382  1.4304725  4.676689   ... 0.00959622 0.00866279 0.48835513],E minor,14
3958397.LOFI,[0.01928419 0.03097557 0.12192397 ... 0.02636009 0.06261463 0.17603022],A minor,1
