filename,chromagram,key,coded_key
3274260.LOFI,[255 255 255 ... 255 255 255],D minor,11
3773561.LOFI,[255 255 255 ... 255 255 255],D minor,11
1927655.LOFI,[255 255 255 ... 255 255 255],G minor,21
774871.LOFI,[255 255 255 ... 255 255 255],B major,4
3402886.LOFI,[255 255 255 ... 255 255 255],Gb major,22
4293025.LOFI,[255 255 255 ... 255 255 255],A minor,1
5417860.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
1792026.LOFI,[255 255 255 ... 255 255 255],D minor,11
1234750.LOFI,[255 255 255 ... 255 255 255],D minor,11
1224698.LOFI,[255 255 255 ... 255 255 255],G major,20
3339291.LOFI,[255 255 255 ... 255 255 255],G minor,21
1787061.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
2049680.LOFI,[255 255 255 ... 255 255 255],F minor,18
1140027.LOFI,[255 255 255 ... 255 255 255],Db minor,13
3298344.LOFI,[255 255 255 ... 255 255 255],F minor,18
677299.LOFI,[255 255 255 ... 255 255 255],Gb major,22
3114501.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
4049579.LOFI,[255 255 255 ... 255 255 255],G minor,21
4086909.LOFI,[255 255 255 ... 255 255 255],G minor,21
272788.LOFI,[255 255 255 ... 255 255 255],Bb major,6
3826491.LOFI,[255 255 255 ... 255 255 255],D minor,11
4996031.LOFI,[255 255 255 ... 255 255 255],F minor,18
4091478.LOFI,[255 255 255 ... 255 255 255],A minor,1
1149778.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
1970992.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
2667501.LOFI,[255 255 255 ... 255 255 255],B minor,5
631240.LOFI,[255 255 255 ... 255 255 255],G minor,21
1234748.LOFI,[255 255 255 ... 255 255 255],G minor,21
3939148.LOFI,[255 255 255 ... 255 255 255],G minor,21
3116329.LOFI,[255 255 255 ... 255 255 255],G minor,21
1298595.LOFI,[255 255 255 ... 255 255 255],F minor,18
822664.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
3024384.LOFI,[255 255 255 ... 255 255 255],A minor,1
5362946.LOFI,[255 255 255 ... 255 255 255],A minor,1
61415.LOFI,[255 255 255 ... 255 255 255],F minor,18
2436729.LOFI,[255 255 255 ... 255 255 255],C minor,9
4661735.LOFI,[255 255 255 ... 255 255 255],G minor,21
3249708.LOFI,[255 255 255 ... 255 255 255],F minor,18
4823611.LOFI,[255 255 255 ... 255 255 255],A minor,1
3954191.LOFI,[255 255 255 ... 255 255 255],F minor,18
1316308.LOFI,[255 255 255 ... 255 255 255],G major,20
4863806.LOFI,[255 255 255 ... 255 255 255],F minor,18
3958861.LOFI,[255 255 255 ... 255 255 255],E minor,14
4934196.LOFI,[255 255 255 ... 255 255 255],A minor,1
3383171.LOFI,[255 255 255 ... 255 255 255],A minor,1
4254573.LOFI,[255 255 255 ... 255 255 255],C minor,9
3772753.LOFI,[255 255 255 ... 255 255 255],D minor,11
2048940.LOFI,[255 255 255 ... 255 255 255],G minor,21
2051166.LOFI,[255 255 255 ... 255 255 255],E minor,14
631883.LOFI,[255 255 255 ... 255 255 255],C minor,9
3211603.LOFI,[255 255 255 ... 255 255 255],C minor,9
4328388.LOFI,[255 255 255 ... 255 255 255],F minor,18
3211733.LOFI,[255 255 255 ... 255 255 255],D minor,11
3794008.LOFI,[255 255 255 ... 255 255 255],Db minor,13
3602282.LOFI,[255 255 255 ... 255 255 255],E minor,14
3667683.LOFI,[255 255 255 ... 255 255 255],G minor,21
907837.LOFI,[255 255 255 ... 255 255 255],G minor,21
1706844.LOFI,[255 255 255 ... 255 255 255],Eb major,16
5026646.LOFI,[255 255 255 ... 255 255 255],F minor,18
1964905.LOFI,[255 255 255 ... 255 255 255],A minor,1
3667215.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
3260121.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
2054968.LOFI,[255 255 255 ... 255 255 255],C major,8
4609349.LOFI,[255 255 255 ... 255 255 255],A minor,1
2725284.LOFI,[255 255 255 ... 255 255 255],G minor,21
4955428.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
3518768.LOFI,[255 255 255 ... 255 255 255],Eb major,16
5013910.LOFI,[255 255 255 ... 255 255 255],G minor,21
1234670.LOFI,[255 255 255 ... 255 255 255],F minor,18
1944125.LOFI,[255 255 255 ... 255 255 255],C minor,9
4360488.LOFI,[255 255 255 ... 255 255 255],F minor,18
5263098.LOFI,[255 255 255 ... 255 255 255],G minor,21
4231980.LOFI,[255 255 255 ... 255 255 255],C minor,9
1206025.LOFI,[255 255 255 ... 255 255 255],A minor,1
1075123.LOFI,[255 255 255 ... 255 255 255],F minor,18
5264038.LOFI,[255 255 255 ... 255 255 255],E minor,14
3767408.LOFI,[255 255 255 ... 255 255 255],G minor,21
4995394.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
1194720.LOFI,[255 255 255 ... 255 255 255],D minor,11
3641166.LOFI,[255 255 255 ... 255 255 255],E minor,14
5159593.LOFI,[255 255 255 ... 255 255 255],A minor,1
3228297.LOFI,[255 255 255 ... 255 255 255],B minor,5
1822502.LOFI,[255 255 255 ... 255 255 255],D minor,11
3628628.LOFI,[255 255 255 ... 255 255 255],B major,4
2435861.LOFI,[255 255 255 ... 255 255 255],C minor,9
4666417.LOFI,[255 255 255 ... 255 255 255],A major,0
4098993.LOFI,[255 255 255 ... 255 255 255],G minor,21
1568217.LOFI,[255 255 255 ... 255 255 255],F major,19
2070773.LOFI,[255 255 255 ... 255 255 255],A minor,1
814290.LOFI,[255 255 255 ... 255 255 255],E major,15
1978917.LOFI,[255 255 255 ... 255 255 255],D minor,11
1234751.LOFI,[255 255 255 ... 255 255 255],Bb major,6
4868146.LOFI,[255 255 255 ... 255 255 255],F minor,18
74982.LOFI,[255 255 255 ... 255 255 255],C minor,9
4508323.LOFI,[255 255 255 ... 255 255 255],B minor,5
4786362.LOFI,[255 255 255 ... 255 255 255],C minor,9
3822226.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
3397932.LOFI,[255 255 255 ... 255 255 255],B minor,5
3753635.LOFI,[255 255 255 ... 255 255 255],F major,19
4297635.LOFI,[255 255 255 ... 255 255 255],B minor,5
1949099.LOFI,[255 255 255 ... 255 255 255],E minor,14
1033148.LOFI,[255 255 255 ... 255 255 255],F minor,18
3137686.LOFI,[255 255 255 ... 255 255 255],A minor,1
3272873.LOFI,[255 255 255 ... 255 255 255],B minor,5
4983645.LOFI,[255 255 255 ... 255 255 255],D minor,11
5276059.LOFI,[255 255 255 ... 255 255 255],C minor,9
4939812.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
2024026.LOFI,[255 255 255 ... 255 255 255],G major,20
3789117.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
209206.LOFI,[255 255 255 ... 255 255 255],G major,20
4153238.LOFI,[255 255 255 ... 255 255 255],A minor,1
1041574.LOFI,[255 255 255 ... 255 255 255],Ab major,2
3367553.LOFI,[255 255 255 ... 255 255 255],Db minor,13
4452122.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
3395666.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3317417.LOFI,[255 255 255 ... 255 255 255],G minor,21
4498388.LOFI,[255 255 255 ... 255 255 255],D minor,11
5015793.LOFI,[255 255 255 ... 255 255 255],C major,8
3178147.LOFI,[255 255 255 ... 255 255 255],A minor,1
1904501.LOFI,[255 255 255 ... 255 255 255],C minor,9
5450838.LOFI,[255 255 255 ... 255 255 255],E minor,14
3625788.LOFI,[255 255 255 ... 255 255 255],G minor,21
4066435.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
2673252.LOFI,[255 255 255 ... 255 255 255],C minor,9
2031096.LOFI,[255 255 255 ... 255 255 255],A minor,1
3367551.LOFI,[255 255 255 ... 255 255 255],Db minor,13
4657878.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
4325645.LOFI,[255 255 255 ... 255 255 255],C minor,9
835903.LOFI,[255 255 255 ... 255 255 255],D major,10
1983975.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
1725800.LOFI,[255 255 255 ... 255 255 255],G minor,21
4060751.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
2673254.LOFI,[255 255 255 ... 255 255 255],D minor,11
4928111.LOFI,[255 255 255 ... 255 255 255],F minor,18
1415239.LOFI,[255 255 255 ... 255 255 255],C minor,9
191347.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4476610.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4062807.LOFI,[255 255 255 ... 255 255 255],E minor,14
3858324.LOFI,[255 255 255 ... 255 255 255],B minor,5
1982269.LOFI,[255 255 255 ... 255 255 255],A minor,1
3629920.LOFI,[255 255 255 ... 255 255 255],G minor,21
4021075.LOFI,[255 255 255 ... 255 255 255],F minor,18
1161249.LOFI,[255 255 255 ... 255 255 255],G minor,21
3361909.LOFI,[255 255 255 ... 255 255 255],Eb major,16
1981501.LOFI,[255 255 255 ... 255 255 255],A minor,1
10089.LOFI,[255 255 255 ... 255 255 255],D major,10
2760321.LOFI,[255 255 255 ... 255 255 255],C major,8
1792100.LOFI,[255 255 255 ... 255 255 255],C minor,9
846900.LOFI,[255 255 255 ... 255 255 255],E major,15
3892740.LOFI,[255 255 255 ... 255 255 255],D major,10
2447748.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
3725440.LOFI,[255 255 255 ... 255 255 255],F minor,18
1017921.LOFI,[255 255 255 ... 255 255 255],B major,4
5081990.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3958755.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
3696226.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
5078640.LOFI,[255 255 255 ... 255 255 255],F minor,18
2007977.LOFI,[255 255 255 ... 255 255 255],Db minor,13
3390952.LOFI,[255 255 255 ... 255 255 255],C minor,9
205597.LOFI,[255 255 255 ... 255 255 255],G minor,21
3014118.LOFI,[255 255 255 ... 255 255 255],E minor,14
3367555.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
1991458.LOFI,[255 255 255 ... 255 255 255],B minor,5
1004923.LOFI,[255 255 255 ... 255 255 255],C minor,9
3387619.LOFI,[255 255 255 ... 255 255 255],A minor,1
1234668.LOFI,[255 255 255 ... 255 255 255],G minor,21
3302451.LOFI,[255 255 255 ... 255 255 255],B minor,5
3402888.LOFI,[255 255 255 ... 255 255 255],D minor,11
203493.LOFI,[255 255 255 ... 255 255 255],G minor,21
495905.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
4014749.LOFI,[255 255 255 ... 255 255 255],C minor,9
4202763.LOFI,[255 255 255 ... 255 255 255],A minor,1
1990297.LOFI,[255 255 255 ... 255 255 255],A minor,1
3400782.LOFI,[255 255 255 ... 255 255 255],F minor,18
